section_id,section_title,type,source,raw_text,checkpoint_draft
2.3.P.1,剂型及产品组成,semantic,focus_point,1 在处方组成列表中列出各成分的用量，包括辅料的内加/外加用量、pH 值调 节剂用量（如适用）等。如投料涉及折干折纯，在处方下备注计算方法。惰性保 护气体无需列入处方，在处方下备注说明。对于包衣产品，在处方中列出素片和 包衣片的片重，在处方下备注说明包衣材料的成分信息。,是否1 在处方组成列表中列出各成分的用量，包括辅料的内加/外加用量、pH 值调 节剂用量（如适用）等。如投料涉及折干折纯，在处方下备注计算方法。惰性保 护气体无需列入处方，在处方下备注说明。对于包衣产品，在处方中列出素片和 包衣片的片重，在处方下备注说明包衣材料的成分信息？
2.3.P.1,剂型及产品组成,table,real_table,"表格列: ['成分', '规格1', '规格2', '……', '过量\n加入', '作用', '执行标准']","是否提供剂型及产品组成相关的结构化表格，且包含列：‘成分’、‘规格1’、‘规格2’、‘……’、‘过量
加入’？"
2.3.P.2.1.1,原料药,semantic,focus_point,2 关注原料药相关特性对制剂性能和生产工艺的潜在影响。如原料药的粒度和 粒度分布、晶型、平衡溶解度可能与制剂溶出行为、稳定性有关；原料药粉体学 性能可能与制剂生产过程中的混合均匀度、成品的含量均匀度有关。 结合原料药制备工艺和注册标准、制剂质控要求，合理制定原料药内控标准 的项目和限度。如结合制剂最大日剂量制定有关物质限度；用于注射途径的原料 药，内控标准中应包括微生物限度、细菌内毒素等检查项。 （3）原辅料相容性 简述原料药和辅料的相容性试验情况，包括试验样品制备方法、考察条件、 考察指标、试验结果、试验结论等。对于复方制剂，说明各原料药之间的相容性 研究结果。 结合原辅料相容性试验结果合理选择处方辅料和制剂工艺，如原料药化学结 构中含有伯胺基的产品，关注原料药与辅料中可能存在的还原糖的相互作用。 结合原辅料相容性试验结果合理选择处方辅料和制剂工艺，如原料药化学结 构中含有伯胺基的产品，关注原料药与辅料中可能存在的还原糖的相互作用。,是否2 关注原料药相关特性对制剂性能和生产工艺的潜在影响。如原料药的粒度和 粒度分布、晶型、平衡溶解度可能与制剂溶出行为、稳定性有关；原料药粉体学 性能可能与制剂生产过程中的混合均匀度、成品的含量均匀度有关。 结合原料药制备工艺和注册标准、制剂质控要求，合理制定原料药内控标准 的项目和限度。如结合制剂最大日剂量制定有关物质限度；用于注射途径的原料 药，内控标准中应包括微生物限度、细菌内毒素等检查项。 （3）原辅料相容性 简述原料药和辅料的相容性试验情况，包括试验样品制备方法、考察条件、 考察指标、试验结果、试验结论等。对于复方制剂，说明各原料药之间的相容性 研究结果。 结合原辅料相容性试验结果合理选择处方辅料和制剂工艺，如原料药化学结 构中含有伯胺基的产品，关注原料药与辅料中可能存在的还原糖的相互作用。 结合原辅料相容性试验结果合理选择处方辅料和制剂工艺，如原料药化学结 构中含有伯胺基的产品，关注原料药与辅料中可能存在的还原糖的相互作用？
2.3.P.2.1.1,原料药,table,real_table,"表格列: ['名称', '生产企业', '执行标准', '登记号及登记状态']",是否提供原料药相关的结构化表格，且包含列：‘名称’、‘生产企业’、‘执行标准’、‘登记号及登记状态’？
2.3.P.2.1.1,原料药,table,real_table,"表格列: ['项目', '内控标准', '药典标准', '……', '其他标准（如原\n料药注册标准）']","是否提供原料药相关的结构化表格，且包含列：‘项目’、‘内控标准’、‘药典标准’、‘……’、‘其他标准（如原
料药注册标准）’？"
2.3.P.2.1.1,原料药,table,real_table,"表格列: ['项目', '内控标准限度', '批号××', '批号××', '……']",是否提供原料药相关的结构化表格，且包含列：‘项目’、‘内控标准限度’、‘批号××’、‘批号××’、‘……’？
2.3.P.2.1.2,辅料,semantic,focus_point,结合原辅料相容性试验结果合理选择处方辅料和制剂工艺，如原料药化学结 构中含有伯胺基的产品，关注原料药与辅料中可能存在的还原糖的相互作用。,是否结合原辅料相容性试验结果合理选择处方辅料和制剂工艺，如原料药化学结 构中含有伯胺基的产品，关注原料药与辅料中可能存在的还原糖的相互作用？
2.3.P.2.2.1,处方开发过程,semantic,focus_point,通过调研参比制剂的公开信息、处方解析等确定目标产品质量概况，必要时 采用反向工程解析参比制剂的处方用量。可参照 ICH Q8 进行制剂处方开发，充 分评估原辅料关键质量属性、辅料种类和用量等与制剂关键质量属性的关系，考 察对制剂产品性能和质量起关键作用的处方因素，并且结合小试、中试放大、工 艺验证等研究合理确定制剂处方。 对于儿童用药，参照《儿童用药（化学药品）药学开发指导原则（试行）》 等指导原则进行产品开发。 对于特殊制剂，参照相应的指导原则进行产品开发，如《脂质体药物质量控 制研究技术指导原则》、《纳米药物质量控制研究技术指导原则（试行）》、《化 学药品吸入液体制剂药学研究技术要求》等。,是否通过调研参比制剂的公开信息、处方解析等确定目标产品质量概况，必要时 采用反向工程解析参比制剂的处方用量。可参照 ICH Q8 进行制剂处方开发，充 分评估原辅料关键质量属性、辅料种类和用量等与制剂关键质量属性的关系，考 察对制剂产品性能和质量起关键作用的处方因素，并且结合小试、中试放大、工 艺验证等研究合理确定制剂处方。 对于儿童用药，参照《儿童用药（化学药品）药学开发指导原则（试行）》 等指导原则进行产品开发。 对于特殊制剂，参照相应的指导原则进行产品开发，如《脂质体药物质量控 制研究技术指导原则》、《纳米药物质量控制研究技术指导原则（试行）》、《化 学药品吸入液体制剂药学研究技术要求》等？
2.3.P.2.2.2,过量投料,semantic,focus_point,通过调研参比制剂的公开信息、处方解析等确定目标产品质量概况，必要时 采用反向工程解析参比制剂的处方用量。可参照 ICH Q8 进行制剂处方开发，充 分评估原辅料关键质量属性、辅料种类和用量等与制剂关键质量属性的关系，考 察对制剂产品性能和质量起关键作用的处方因素，并且结合小试、中试放大、工 艺验证等研究合理确定制剂处方。 对于儿童用药，参照《儿童用药（化学药品）药学开发指导原则（试行）》 等指导原则进行产品开发。 对于特殊制剂，参照相应的指导原则进行产品开发，如《脂质体药物质量控 制研究技术指导原则》、《纳米药物质量控制研究技术指导原则（试行）》、《化 学药品吸入液体制剂药学研究技术要求》等。,是否通过调研参比制剂的公开信息、处方解析等确定目标产品质量概况，必要时 采用反向工程解析参比制剂的处方用量。可参照 ICH Q8 进行制剂处方开发，充 分评估原辅料关键质量属性、辅料种类和用量等与制剂关键质量属性的关系，考 察对制剂产品性能和质量起关键作用的处方因素，并且结合小试、中试放大、工 艺验证等研究合理确定制剂处方。 对于儿童用药，参照《儿童用药（化学药品）药学开发指导原则（试行）》 等指导原则进行产品开发。 对于特殊制剂，参照相应的指导原则进行产品开发，如《脂质体药物质量控 制研究技术指导原则》、《纳米药物质量控制研究技术指导原则（试行）》、《化 学药品吸入液体制剂药学研究技术要求》等？
2.3.P.2.2.3,制剂相关特性,semantic,focus_point,根据制剂产品特性和相关指导原则，考察与制剂产品相关的关键质量属性， 并与参比制剂进行对比，自研样品的质量应与参比制剂一致。 对于口服固体制剂，参照相关指导原则要求开展自研样品和参比制剂在至少 5 3种pH介质中的溶出曲线比较研究，提供溶出数据和溶出曲线图。应提供多批参 比制剂样品的数据；关注自研样品和参比制剂溶出行为的批内和批间均一性；溶 出曲线相似性判定应符合《普通口服固体制剂溶出度试验技术指导原则》、《普 通口服固体制剂溶出曲线测定与比较指导原则》等指导原则相关要求。,是否根据制剂产品特性和相关指导原则，考察与制剂产品相关的关键质量属性， 并与参比制剂进行对比，自研样品的质量应与参比制剂一致。 对于口服固体制剂，参照相关指导原则要求开展自研样品和参比制剂在至少 5 3种pH介质中的溶出曲线比较研究，提供溶出数据和溶出曲线图。应提供多批参 比制剂样品的数据；关注自研样品和参比制剂溶出行为的批内和批间均一性；溶 出曲线相似性判定应符合《普通口服固体制剂溶出度试验技术指导原则》、《普 通口服固体制剂溶出曲线测定与比较指导原则》等指导原则相关要求？
2.3.P.2.2.3,制剂相关特性,table,real_table,"表格列: ['中试处方', '临床试验批/生物\n等效性试验批用处\n方（如适用）', '工艺验证处方', '拟定商业生产\n处方', '主要变化\n及原因', '支持\n依据']","是否提供制剂相关特性相关的结构化表格，且包含列：‘中试处方’、‘临床试验批/生物
等效性试验批用处
方（如适用）’、‘工艺验证处方’、‘拟定商业生产
处方’、‘主要变化
及原因’？"
2.3.P.2.2.3,制剂相关特性,table,real_table,"表格列: ['溶出\n介质', '取样时间\n（分钟）', '溶出度']","是否提供制剂相关特性相关的结构化表格，且包含列：‘溶出
介质’、‘取样时间
（分钟）’、‘溶出度’？"
